"Job","Q13_Jupyter_IPython","Q13_RStudio","Q13_PyCharm","Q13_Visual_Studio_Code","Q13_nteract","Q13_Atom","Q13_MATLAB","Q13_Visual_Studio","Q13_Notepad","Q13_Sublime_Text","Q13_Vim","Q13_IntelliJ","Q13_Spyder","Q14_Kaggle_Kernels","Q14_Google_Colab","Q14_Azure_Notebook","Q14_Domino_Datalab","Q14_Google_Cloud_Datalab","Q14_Paperspace","Q14_Floydhub","Q14_Crestle","Q14_JupyterHub_Binder","Q15_Google_Cloud_Platform_GCP","Q15_Amazon_Web_Services_AWS","Q15_Microsoft_Azure","Q15_IBM_Cloud","Q15_Alibaba_Cloud","Q16_Python","Q16_R","Q16_SQL","Q16_Bash","Q16_Java","Q16_Javascript_Typescript","Q16_Visual_Basic_VBA","Q16_C_C","Q16_MATLAB","Q16_Scala","Q16_Julia","Q16_Go","Q16_CSharp_NET","Q16_PHP","Q16_Ruby","Q16_SAS_STATA","Q19_ScikitLearn","Q19_TensorFlow","Q19_Keras","Q19_PyTorch","Q19_Spark_MLlib","Q19_H20","Q19_Fastai","Q19_Mxnet","Q19_Caret","Q19_Xgboost","Q19_mlr","Q19_Prophet","Q19_randomForest","Q19_lightgbm","Q19_catboost","Q19_CNTK","Q19_Caffe","Q21_ggplot2","Q21_Matplotlib","Q21_Altair","Q21_Shiny","Q21_D3","Q21_Plotly","Q21_Bokeh","Q21_Seaborn","Q21_Geoplotlib","Q21_Leaflet","Q21_Lattice","Q27_AWS_Elastic_Compute_Cloud_EC2","Q27_Google_Compute_Engine","Q27_AWS_Elastic_Beanstalk","Q27_Google_App_Engine","Q27_Google_Kubernetes_Engine","Q27_AWS_Lambda","Q27_Google_Cloud_Functions","Q27_AWS_Batch","Q27_Azure_Virtual_Machines","Q27_Azure_Container_Service","Q27_Azure_Functions","Q27_Azure_Event_Grid","Q27_Azure_Batch","Q27_Azure_Kubernetes_Service","Q27_IBM_Cloud_Virtual_Servers","Q27_IBM_Cloud_Container_Registry","Q27_IBM_Cloud_Kubernetes_Service","Q27_IBM_Cloud_Foundry","Q28_Amazon_Transcribe","Q28_Google_Cloud_Speechtotext_API","Q28_Amazon_Rekognition","Q28_Google_Cloud_Vision_API","Q28_Amazon_Comprehend","Q28_Google_Cloud_Natural_Language_API","Q28_Amazon_Translate","Q28_Google_Cloud_Translation_API","Q28_Amazon_Lex","Q28_Google_Dialogflow_Enterprise_Edition","Q28_Amazon_Rekognition_Video","Q28_Google_Cloud_Video_Intelligence_API","Q28_Google_Cloud_AutoML","Q28_Amazon_SageMaker","Q28_Google_Cloud_Machine_Learning_Engine","Q28_DataRobot","Q28_H20_Driverless_AI","Q28_Domino_Datalab","Q28_SAS","Q28_Dataiku","Q28_RapidMiner","Q28_Instabase","Q28_Algorithmia","Q28_Dataversity","Q28_Cloudera","Q28_Azure_Machine_Learning_Studio","Q28_Azure_Machine_Learning_Workbench","Q28_Azure_Cortana_Intelligence_Suite","Q28_Azure_Bing_Speech_API","Q28_Azure_Speaker_Recognition_API","Q28_Azure_Computer_Vision_API","Q28_Azure_Face_API","Q28_Azure_Video_API","Q28_IBM_Watson_Studio","Q28_IBM_Watson_Knowledge_Catalog","Q28_IBM_Watson_Assistant","Q28_IBM_Watson_Discovery","Q28_IBM_Watson_Text_to_Speech","Q28_IBM_Watson_Visual_Recognition","Q28_IBM_Watson_Machine_Learning","Q28_Azure_Cognitive_Services","Q28_Part_42","Q29_AWS_Relational_Database_Service","Q29_AWS_Aurora","Q29_Google_Cloud_SQL","Q29_Google_Cloud_Spanner","Q29_AWS_DynamoDB","Q29_Google_Cloud_Datastore","Q29_Google_Cloud_Bigtable","Q29_AWS_SimpleDB","Q29_Microsoft_SQL_Server","Q29_MySQL","Q29_PostgresSQL","Q29_SQLite","Q29_Oracle_Database","Q29_Ingres","Q29_Microsoft_Access","Q29_NexusDB","Q29_SAP_IQ","Q29_Google_Fusion_Tables","Q29_Azure_Database_for_MySQL","Q29_Azure_Cosmos_DB","Q29_Azure_SQL_Database","Q29_Azure_Database_for_PostgreSQL","Q29_IBM_Cloud_Compose","Q29_IBM_Cloud_Compose_for_MySQL","Q29_IBM_Cloud_Compose_for_PostgreSQL","Q29_IBM_Cloud_Db2","Q30_AWS_Elastic_MapReduce","Q30_AWS_Batch","Q30_Google_Cloud_Dataproc","Q30_Google_Cloud_Dataflow","Q30_Google_Cloud_Dataprep","Q30_AWS_Kinesis","Q30_Google_Cloud_Pub_Sub","Q30_AWS_Athena","Q30_AWS_Redshift","Q30_Google_BigQuery","Q30_Teradata","Q30_Microsoft_Analysis_Services","Q30_Oracle_Exadata","Q30_Oracle_Warehouse_Builder","Q30_SAP_IQ","Q30_Snowflake","Q30_Databricks","Q30_Azure_SQL_Data_Warehouse","Q30_Azure_HDInsight","Q30_Azure_Stream_Analytics","Q30_IBM_InfoSphere_DataStorage","Q30_IBM_Cloud_Analytics_Engine","Q30_IBM_Cloud_Streaming_Analytics"
"1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","1","0","0","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","1","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","1","1","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","1","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","1","0","0","1","1","0","1","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
