,Id,OverallQualitySum,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,0.6460176991150443,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,CBlock,906,0,134,1040,GasA,1040,0,0,1040,1,0,1,0,3,1,5,Typ,0,Detchd,1965.0,1,384,0,0,0,0,0,0,,0,2,2008,WD,Normal,129500
11,12,0.8761061946902655,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,PConc,998,0,177,1175,GasA,1182,1142,0,2324,1,0,3,0,4,1,11,Typ,2,BuiltIn,2005.0,3,736,147,21,0,0,0,0,,0,7,2006,New,Partial,345000
12,13,0.6106194690265486,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,CBlock,737,0,175,912,GasA,912,0,0,912,1,0,1,0,2,1,4,Typ,0,Detchd,1962.0,1,352,140,0,0,0,176,0,,0,9,2008,WD,Normal,144000
13,14,0.8495575221238938,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,PConc,0,0,1494,1494,GasA,1494,0,0,1494,0,0,2,0,3,1,7,Typ,1,Attchd,2006.0,3,840,160,33,0,0,0,0,,0,8,2007,New,Partial,279500
14,15,0.6814159292035398,20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,CBlock,733,0,520,1253,GasA,1253,0,0,1253,1,0,1,1,2,1,5,Typ,1,Attchd,1960.0,1,352,0,213,176,0,0,0,,0,5,2008,WD,Normal,157000
15,16,0.7168141592920354,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,0,0,832,832,GasA,854,0,0,854,0,0,1,0,2,1,5,Typ,0,Detchd,1991.0,2,576,48,112,0,0,0,0,,0,7,2007,WD,Normal,132000
16,17,0.7256637168141593,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,CBlock,578,0,426,1004,GasA,1004,0,0,1004,1,0,1,0,2,1,5,Typ,1,Attchd,1970.0,2,480,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000
17,18,0.39823008849557523,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,Slab,0,0,0,0,GasA,1296,0,0,1296,0,0,2,0,2,2,6,Typ,0,CarPort,1967.0,2,516,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000
18,19,0.6902654867256637,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,646,0,468,1114,GasA,1114,0,0,1114,1,0,1,1,3,1,6,Typ,0,Detchd,2004.0,2,576,0,102,0,0,0,0,,0,6,2008,WD,Normal,159000
19,20,0.6106194690265486,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,CBlock,504,0,525,1029,GasA,1339,0,0,1339,0,0,1,0,3,1,6,Min1,0,Attchd,1958.0,1,294,0,0,0,0,0,0,,0,5,2009,COD,Abnorml,139000
20,21,0.8672566371681416,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,PConc,0,0,1158,1158,GasA,1158,1218,0,2376,0,0,3,1,4,1,9,Typ,1,BuiltIn,2005.0,3,853,240,154,0,0,0,0,,0,11,2006,New,Partial,325300
21,22,0.6991150442477876,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,PConc,0,0,637,637,GasA,1108,0,0,1108,0,0,1,0,3,1,6,Typ,1,Attchd,1930.0,1,280,0,0,205,0,0,0,,0,6,2007,WD,Normal,139400
22,23,0.8141592920353983,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,PConc,0,0,1777,1777,GasA,1795,0,0,1795,0,0,2,0,3,1,7,Typ,1,Attchd,2002.0,2,534,171,159,0,0,0,0,,0,9,2008,WD,Normal,230000
23,24,0.7079646017699115,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,840,0,200,1040,GasA,1060,0,0,1060,1,0,1,0,3,1,6,Typ,1,Attchd,1976.0,2,572,100,110,0,0,0,0,,0,6,2007,WD,Normal,129900
24,25,0.7522123893805309,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,CBlock,188,668,204,1060,GasA,1060,0,0,1060,1,0,1,0,3,1,6,Typ,1,Attchd,1968.0,1,270,406,90,0,0,0,0,,0,5,2010,WD,Normal,154000
25,26,0.8141592920353983,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,PConc,0,0,1566,1566,GasA,1600,0,0,1600,0,0,2,0,3,1,7,Typ,1,Attchd,2007.0,3,890,0,56,0,0,0,0,,0,7,2009,WD,Normal,256300
26,27,0.6371681415929203,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,234,486,180,900,GasA,900,0,0,900,0,1,1,0,3,1,5,Typ,0,Detchd,2005.0,2,576,222,32,0,0,0,0,,0,5,2010,WD,Normal,134800
27,28,0.8584070796460177,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,PConc,1218,0,486,1704,GasA,1704,0,0,1704,1,0,2,0,3,1,7,Typ,1,Attchd,2008.0,3,772,0,50,0,0,0,0,,0,5,2010,WD,Normal,306000
28,29,0.7699115044247787,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,1277,0,207,1484,GasA,1600,0,0,1600,1,0,1,0,2,1,6,Typ,2,Attchd,1957.0,1,319,288,258,0,0,0,0,,0,12,2006,WD,Normal,207500
29,30,0.4690265486725664,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,0,0,520,520,GasA,520,0,0,520,0,0,1,0,1,1,4,Typ,0,Detchd,1920.0,1,240,49,0,87,0,0,0,,0,5,2008,WD,Normal,68500
30,31,0.39823008849557523,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,BrkTil,0,0,649,649,GasA,649,668,0,1317,0,0,1,0,3,1,6,Typ,0,Detchd,1920.0,1,250,0,54,172,0,0,0,,0,7,2008,WD,Normal,40000
31,32,0.6460176991150443,20,RL,,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,0,0,1228,1228,GasA,1228,0,0,1228,0,0,1,1,3,1,6,Typ,0,Attchd,1966.0,1,271,0,65,0,0,0,0,,0,6,2008,WD,Normal,149350
32,33,0.7964601769911505,20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,0,0,1234,1234,GasA,1234,0,0,1234,0,0,2,0,3,1,7,Typ,0,Attchd,2007.0,2,484,0,30,0,0,0,0,,0,1,2008,WD,Normal,179900
33,34,0.7610619469026548,20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,CBlock,1018,0,380,1398,GasA,1700,0,0,1700,0,1,1,1,4,1,6,Typ,1,Attchd,1959.0,2,447,0,38,0,0,0,0,,0,4,2010,WD,Normal,165500
34,35,0.8761061946902655,120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,PConc,1153,0,408,1561,GasA,1561,0,0,1561,1,0,2,0,2,1,6,Typ,1,Attchd,2005.0,2,556,203,47,0,0,0,0,,0,8,2007,WD,Normal,277500
35,36,0.8495575221238938,60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,PConc,0,0,1117,1117,GasA,1132,1320,0,2452,0,0,3,1,4,1,9,Typ,1,BuiltIn,2004.0,3,691,113,32,0,0,0,0,,0,9,2006,WD,Normal,309000
36,37,0.6637168141592921,20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,0,0,1097,1097,GasA,1097,0,0,1097,0,0,1,1,3,1,6,Typ,0,Attchd,1995.0,2,672,392,64,0,0,0,0,,0,6,2009,WD,Normal,145000
37,38,0.7079646017699115,20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,CBlock,1213,0,84,1297,GasA,1297,0,0,1297,0,1,1,0,3,1,5,Typ,1,Attchd,1954.0,2,498,0,0,0,0,0,0,,0,10,2009,WD,Normal,153000
38,39,0.672566371681416,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,731,0,326,1057,GasA,1057,0,0,1057,1,0,1,0,3,1,5,Typ,0,Detchd,1953.0,1,246,0,52,0,0,0,0,,0,1,2010,WD,Abnorml,109000
39,40,0.08849557522123894,90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,PConc,0,0,0,0,GasA,1152,0,0,1152,0,0,2,0,2,2,6,Typ,0,,,0,0,0,0,0,0,0,0,,0,6,2008,WD,AdjLand,82000
40,41,0.7433628318584071,20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,CBlock,643,0,445,1088,GasA,1324,0,0,1324,0,0,2,0,3,1,6,Typ,1,Attchd,1965.0,2,440,0,138,0,0,0,0,,0,12,2006,WD,Abnorml,160000
41,42,0.7610619469026548,20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,967,0,383,1350,GasA,1328,0,0,1328,0,1,1,1,2,1,5,Typ,2,Attchd,1959.0,1,308,0,104,0,0,0,0,,0,7,2007,WD,Normal,170000
42,43,0.7610619469026548,85,RL,,9180,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,747,93,0,840,GasA,884,0,0,884,1,0,1,0,2,1,5,Typ,0,Attchd,1983.0,2,504,240,0,0,0,0,0,,0,12,2007,WD,Normal,144000
43,44,0.6548672566371682,20,RL,,9200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,CBlock,280,491,167,938,GasA,938,0,0,938,1,0,1,0,3,1,5,Typ,0,Detchd,1977.0,1,308,145,0,0,0,0,0,,0,7,2008,WD,Normal,130250
44,45,0.7522123893805309,20,RL,70.0,7945,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,CBlock,179,506,465,1150,GasA,1150,0,0,1150,1,0,1,0,3,1,6,Typ,0,Attchd,1959.0,1,300,0,0,0,0,0,0,,0,5,2006,WD,Normal,141000
45,46,0.8938053097345132,120,RL,61.0,7658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,PConc,456,0,1296,1752,GasA,1752,0,0,1752,1,0,2,0,2,1,6,Typ,1,Attchd,2005.0,2,576,196,82,0,0,0,0,,0,2,2010,WD,Normal,319900
46,47,0.8761061946902655,50,RL,48.0,12822,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,1351,0,83,1434,GasA,1518,631,0,2149,1,0,1,1,1,1,6,Typ,1,Attchd,2003.0,2,670,168,43,0,0,198,0,,0,8,2009,WD,Abnorml,239686
47,48,0.8053097345132744,20,FV,84.0,11096,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,24,0,1632,1656,GasA,1656,0,0,1656,0,0,2,0,3,1,7,Typ,0,Attchd,2006.0,3,826,0,146,0,0,0,0,,0,7,2007,WD,Normal,249700
48,49,0.3893805309734513,190,RM,33.0,4456,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,0,0,736,736,GasA,736,716,0,1452,0,0,2,0,2,3,8,Typ,0,,,0,0,0,0,102,0,0,0,,0,6,2009,New,Partial,113000
49,50,0.6371681415929203,20,RL,66.0,7742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,763,0,192,955,GasA,955,0,0,955,1,0,1,0,3,1,6,Typ,0,Attchd,1966.0,1,386,0,0,0,0,0,0,,0,1,2007,WD,Normal,127000
50,51,0.7345132743362832,60,RL,,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,182,0,612,794,GasA,794,676,0,1470,0,1,2,0,3,1,6,Typ,0,Attchd,1997.0,2,388,0,75,0,0,0,0,,0,7,2007,WD,Normal,177000
51,52,0.6814159292035398,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,PConc,0,0,816,816,GasA,816,0,360,1176,0,0,1,0,3,1,6,Typ,1,Detchd,1985.0,2,528,112,0,0,0,0,0,Shed,400,9,2006,WD,Normal,114500
52,53,0.6017699115044248,90,RM,110.0,8472,Grvl,,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,104,712,0,816,GasA,816,0,0,816,1,0,1,0,2,1,5,Typ,0,CarPort,1963.0,2,516,106,0,0,0,0,0,,0,5,2010,WD,Normal,110000
53,54,0.8761061946902655,20,RL,68.0,50271,Pave,,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,CBlock,1810,0,32,1842,GasA,1842,0,0,1842,2,0,0,1,0,1,5,Typ,1,Attchd,1981.0,3,894,857,72,0,0,0,0,,0,11,2006,WD,Normal,385000
54,55,0.6637168141592921,80,RL,60.0,7134,Pave,,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,384,0,0,384,GasA,1360,0,0,1360,0,0,1,0,3,1,6,Min1,1,Detchd,1962.0,2,572,0,50,0,0,0,0,,0,2,2007,WD,Normal,130000
55,56,0.7345132743362832,20,RL,100.0,10175,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,CBlock,490,0,935,1425,GasA,1425,0,0,1425,0,0,2,0,3,1,7,Typ,1,Attchd,1964.0,2,576,0,0,0,407,0,0,,0,7,2008,WD,Normal,180500
56,57,0.7522123893805309,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,PConc,649,0,321,970,GasA,983,756,0,1739,1,0,2,1,3,1,7,Typ,0,Attchd,1999.0,2,480,115,0,0,0,0,0,,0,8,2009,WD,Abnorml,172500
57,58,0.7433628318584071,60,RL,89.0,11645,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,0,0,860,860,GasA,860,860,0,1720,0,0,2,1,3,1,7,Typ,0,Attchd,2004.0,2,565,0,70,0,0,0,0,,0,8,2006,WD,Normal,196500
58,59,0.8849557522123894,60,RL,66.0,13682,Pave,,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,PConc,0,0,1410,1410,GasA,1426,1519,0,2945,0,0,3,1,3,1,10,Typ,1,BuiltIn,2006.0,3,641,192,0,37,0,0,0,,0,10,2006,New,Partial,438780
59,60,0.6814159292035398,20,RL,60.0,7200,Pave,,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,632,0,148,780,GasA,780,0,0,780,0,0,1,0,2,1,4,Typ,0,Detchd,1973.0,1,352,196,0,0,0,0,0,,0,1,2008,WD,Normal,124900
60,61,0.6814159292035398,20,RL,63.0,13072,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,941,0,217,1158,GasA,1158,0,0,1158,1,0,1,1,3,1,5,Typ,0,Detchd,2006.0,2,576,0,50,0,0,0,0,,0,5,2006,New,Partial,158000
61,62,0.39823008849557523,75,RM,60.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,0,0,530,530,GasA,581,530,0,1111,0,0,1,0,3,1,6,Typ,0,Detchd,1935.0,1,288,0,0,144,0,0,0,,0,3,2007,WD,Normal,101000
62,63,0.8761061946902655,120,RL,44.0,6442,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,PConc,24,0,1346,1370,GasA,1370,0,0,1370,0,0,2,0,2,1,6,Typ,1,Attchd,2006.0,2,484,120,49,0,0,0,0,,0,10,2007,WD,Normal,202500
63,64,0.6283185840707964,70,RM,50.0,10300,Pave,,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,BrkTil,0,0,576,576,GasA,902,808,0,1710,0,0,2,0,3,1,9,Typ,0,Detchd,1990.0,2,480,12,11,64,0,0,0,,0,4,2010,WD,Normal,140000
